CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Credit_Limit,Total_Revolving_Bal,,,,,,,,,,,
768805383,Existing Customer,45,M,3,High School,Married,$60K - $80K,Blue,12691,777,,,,,,,,,,,
818770008,Existing Customer,49,F,5,Graduate,Single,Less than $40K,Blue,8256,864,,,,,,,,,,,
713982108,Existing Customer,51,M,3,Graduate,Married,$80K - $120K,Blue,3418,0,,,,,,,,,,,
769911858,Existing Customer,40,F,4,High School,Unknown,Less than $40K,Blue,3313,2517,,,,,,,,,,,
709106358,Existing Customer,40,M,3,Uneducated,Married,$60K - $80K,Blue,4716,0,,,,,,,,,,,
713061558,Existing Customer,44,M,2,Graduate,Married,$40K - $60K,Blue,4010,1247,,,,,,,,,,,
810347208,Existing Customer,51,M,4,Unknown,Married,$120K +,Gold,34516,2264,,,,,,,,,,,
818906208,Existing Customer,32,M,0,High School,Unknown,$60K - $80K,Silver,29081,1396,,,,,,,,,,,
710930508,Existing Customer,37,M,3,Uneducated,Single,$60K - $80K,Blue,22352,2517,,,,,,,,,,,
719661558,Existing Customer,48,M,2,Graduate,Single,$80K - $120K,Blue,11656,1677,,,,,,,,,,,
708790833,Existing Customer,42,M,5,Uneducated,Unknown,$120K +,Blue,6748,1467,,,,,,,,,,,
710821833,Existing Customer,65,M,1,Unknown,Married,$40K - $60K,Blue,9095,1587,,,,,,,,,,,
710599683,Existing Customer,56,M,1,College,Single,$80K - $120K,Blue,11751,0,,,,,,,,,,,
816082233,Existing Customer,35,M,3,Graduate,Unknown,$60K - $80K,Blue,8547,1666,,,,,,,,,,,
712396908,Existing Customer,57,F,2,Graduate,Married,Less than $40K,Blue,2436,680,,,,,,,,,,,
714885258,Existing Customer,44,M,4,Unknown,Unknown,$80K - $120K,Blue,4234,972,,,,,,,,,,,
709967358,Existing Customer,48,M,4,Post-Graduate,Single,$80K - $120K,Blue,30367,2362,,,,,,,,,,,
